List,Name,Note,Categoria,Genero,Descrição,Temporada,Episodios,Assistido,Atualizado
207,Lazarus,8.0,Anime,ação ,anime novo,1,12,2,2025-07-11
207,One Piece,8.0,Anime,ação ,anime novo,15,1030,1031,2025-07-11
207,Gachiakuta,8.0,Anime,sobrenatural,anime novo,1,12,2,2025-07-11
208,Tate no Yuusha no Nariagari,8.0,Anime,isekai,anime novo,4,12,1,2025-07-11
208,Guimi Zhi Zhu: Xiaochou Pian (Lord of Mistery),8.5,Anime,sobrenatural,anime novo,1,12,5,2025-07-11
208,Lazarus,7.0,Anime,açao,anime novo,1,12,2,2025-07-11
208,Tu Bian Yingxiong X,8.0,Anime,ação,anime novo,1,24,16,2025-07-11
208,Dandadan,8.0,Anime,ação,anime novo,2,12,3,2025-07-11
208,Mizu Zokusei no Mahoutsukai  (The Water Magician),8.0,Anime,Aventura,anime novo,1,12,4,2025-07-11
209,Kaijuu 8-gou,8.0,Anime,ação ,anime novo,2,12,2,2025-07-11
